"iso_3166","iso_3166_2","period_start_date","period_end_date","disease","nesting_disease","basal_disease","cases_this_period","location","location_type","time_scale","historical_disease","historical_disease_family","historical_disease_subclass","days_this_period","period_mid_date","population","record_origin","original_dataset_id","digitization_id","scan_id"
"CA","CA-ON","2012-12-16","2012-12-22","influenza","","influenza",1034,"ONT.","province","wk","influenza","","",7,"2012-12-19",13505529,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-12-23","2012-12-29","influenza","","influenza",2305,"ONT.","province","wk","influenza","","",7,"2012-12-26",13507827,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2012-12-30","2013-01-05","influenza","","influenza",1445,"ONT.","province","wk","influenza","","",7,"2013-01-02",13510124,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-01-06","2013-01-12","influenza","","influenza",661,"ONT.","province","wk","influenza","","",7,"2013-01-09",13512244,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-01-13","2013-01-19","influenza","","influenza",393,"ONT.","province","wk","influenza","","",7,"2013-01-16",13514291,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-01-20","2013-01-26","influenza","","influenza",290,"ONT.","province","wk","influenza","","",7,"2013-01-23",13516339,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-01-27","2013-02-02","influenza","","influenza",246,"ONT.","province","wk","influenza","","",7,"2013-01-30",13518387,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-02-03","2013-02-09","influenza","","influenza",188,"ONT.","province","wk","influenza","","",7,"2013-02-06",13520434,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-02-10","2013-02-16","influenza","","influenza",163,"ONT.","province","wk","influenza","","",7,"2013-02-13",13522482,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-02-17","2013-02-23","influenza","","influenza",189,"ONT.","province","wk","influenza","","",7,"2013-02-20",13524530,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-02-24","2013-03-02","influenza","","influenza",137,"ONT.","province","wk","influenza","","",7,"2013-02-27",13526577,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-03-03","2013-03-09","influenza","","influenza",129,"ONT.","province","wk","influenza","","",7,"2013-03-06",13528625,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-03-10","2013-03-16","influenza","","influenza",99,"ONT.","province","wk","influenza","","",7,"2013-03-13",13530673,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-03-17","2013-03-23","influenza","","influenza",93,"ONT.","province","wk","influenza","","",7,"2013-03-20",13532720,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-03-24","2013-03-30","influenza","","influenza",92,"ONT.","province","wk","influenza","","",7,"2013-03-27",13534768,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-03-31","2013-04-06","influenza","","influenza",88,"ONT.","province","wk","influenza","","",7,"2013-04-03",13536816,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-04-07","2013-04-13","influenza","","influenza",91,"ONT.","province","wk","influenza","","",7,"2013-04-10",13538863,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
"CA","CA-ON","2013-04-14","2013-04-20","influenza","","influenza",74,"ONT.","province","wk","influenza","","",7,"2013-04-17",13540911,"historical","cdi_on_1990-2021_wk","cdi_on_1990-2021_wk",""
